Sale_ID,Customer_ID,Date,Car_Model,Region,Country,City,Units_Sold,Sale_Amount_USD,Color,Battery_Type,Delivery_Time_Days,Customer_Type,Dealer_Name
S0047,CUST0047,2023-08-26,Cybertruck,Europe,China,Beijing,2,168000,White,Performance,5,Individual,"Shea, Espinoza and Roberts Tesla"
S0048,CUST0048,2024-08-02,Model X,Asia,France,Paris,4,400000,Black,Standard Range,46,Individual,Medina-Miller Tesla
S0049,CUST0049,2024-03-12,Model X,Europe,France,Lyon,3,300000,Black,Standard Range,53,Corporate,"Arellano, Gomez and Fox Tesla"
S0050,CUST0050,2024-08-30,Model 3,North America,Canada,Vancouver,1,63000,White,Performance,24,Corporate,"Crane, Hale and Davis Tesla"
S0051,CUST0051,2023-07-11,Model 3,Europe,USA,Chicago,5,315000,Silver,Performance,48,Corporate,"Smith, Dixon and Mcdonald Tesla"
S0052,CUST0052,2025-03-20,Cybertruck,Asia,UK,Manchester,4,288000,Silver,Long Range,12,Individual,Meadows-Barrett Tesla
S0053,CUST0053,2024-04-01,Model S,Asia,Australia,Brisbane,1,108000,Silver,Long Range,21,Corporate,Owens LLC Tesla
S0054,CUST0054,2023-06-11,Model 3,Asia,USA,Chicago,1,45000,Red,Standard Range,5,Corporate,Bowers Group Tesla
S0055,CUST0055,2023-10-28,Cybertruck,North America,USA,New York,2,120000,Silver,Standard Range,37,Corporate,Dixon Inc Tesla
S0056,CUST0056,2023-11-07,Model 3,North America,Canada,Toronto,5,225000,Red,Standard Range,45,Individual,"Ball, Parker and Parrish Tesla"
S0057,CUST0057,2023-05-27,Cybertruck,Europe,Germany,Berlin,1,84000,Blue,Performance,45,Individual,"Friedman, Wright and Shields Tesla"
S0058,CUST0058,2024-01-23,Model 3,Europe,Germany,Cologne,5,225000,Silver,Standard Range,33,Individual,"Jones, Johnston and Barr Tesla"
S0059,CUST0059,2024-10-04,Cybertruck,Asia,Japan,Sapporo,3,252000,Red,Performance,34,Corporate,"Rivera, Jacobs and Harrington Tesla"
S0060,CUST0060,2024-09-23,Model X,North America,Japan,Yokohama,2,280000,Silver,Performance,16,Corporate,"Harvey, Wright and Juarez Tesla"
S0061,CUST0061,2024-12-11,Model S,Asia,China,Guangzhou,3,378000,Black,Performance,50,Individual,"Wright, Reid and Pitts Tesla"
S0062,CUST0062,2023-09-30,Model 3,North America,UK,Leeds,5,315000,Red,Performance,33,Corporate,Marshall Ltd Tesla
S0063,CUST0063,2023-06-14,Model S,Asia,Canada,Ottawa,5,540000,Silver,Long Range,50,Individual,Green-Frederick Tesla
S0064,CUST0064,2025-01-13,Model 3,North America,UK,Liverpool,3,162000,White,Long Range,39,Individual,"Klein, Buchanan and Robertson Tesla"
S0065,CUST0065,2023-05-11,Model X,Europe,India,Mumbai,3,300000,White,Standard Range,22,Individual,"Hernandez, Smith and Hayes Tesla"
S0066,CUST0066,2024-03-28,Model X,Asia,USA,New York,4,560000,White,Performance,55,Corporate,Baxter Group Tesla
S0067,CUST0067,2024-06-15,Cybertruck,Asia,India,Chennai,1,84000,Red,Performance,53,Corporate,Dunn Ltd Tesla
S0068,CUST0068,2025-03-18,Model X,Europe,China,Shenzhen,3,420000,Blue,Performance,7,Corporate,"Stewart, Howard and Flores Tesla"
S0069,CUST0069,2024-07-10,Model S,Europe,Japan,Nagoya,3,270000,Black,Standard Range,10,Corporate,Randall Inc Tesla
S0070,CUST0070,2023-06-01,Model X,Asia,USA,Los Angeles,2,280000,Blue,Performance,57,Corporate,"Flores, Robinson and Mitchell Tesla"
S0071,CUST0071,2024-01-16,Model S,Europe,Brazil,São Paulo,4,432000,White,Long Range,9,Corporate,"Herrera, Moore and Herring Tesla"
S0072,CUST0072,2023-12-21,Model S,Europe,India,Bangalore,4,432000,Silver,Long Range,23,Corporate,Garcia LLC Tesla
S0073,CUST0073,2024-10-31,Model S,Asia,UK,London,4,432000,Silver,Long Range,40,Individual,"Morgan, Mahoney and James Tesla"
S0074,CUST0074,2024-01-20,Model X,Asia,USA,Houston,5,500000,Red,Standard Range,36,Corporate,Snyder LLC Tesla
S0075,CUST0075,2024-11-05,Model X,North America,Japan,Tokyo,2,240000,Red,Long Range,49,Individual,Smith LLC Tesla
S0076,CUST0076,2024-05-10,Model X,Asia,Japan,Yokohama,2,280000,White,Performance,31,Corporate,Werner Inc Tesla
S0077,CUST0077,2024-08-02,Cybertruck,Europe,India,Mumbai,5,360000,White,Long Range,37,Individual,Robinson PLC Tesla
S0078,CUST0078,2023-08-19,Model X,North America,USA,Los Angeles,4,560000,White,Performance,33,Individual,"Trevino, Estes and Johnson Tesla"
S0079,CUST0079,2025-04-02,Model X,Asia,Japan,Yokohama,1,100000,White,Standard Range,30,Individual,"Kirby, Johnson and Chapman Tesla"
S0080,CUST0080,2023-12-22,Model X,North America,France,Nice,4,560000,Red,Performance,32,Corporate,Lewis and Sons Tesla
S0081,CUST0081,2023-08-13,Cybertruck,Asia,Germany,Hamburg,4,336000,White,Performance,54,Corporate,Mcclain-Williams Tesla
S0082,CUST0082,2024-01-14,Model 3,North America,China,Chengdu,1,63000,Black,Performance,31,Individual,"Little, Hudson and Smith Tesla"
S0083,CUST0083,2025-02-04,Cybertruck,Europe,Brazil,Salvador,2,168000,Blue,Performance,58,Individual,Oneill PLC Tesla
S0084,CUST0084,2023-11-12,Model 3,North America,USA,New York,4,252000,Silver,Performance,46,Corporate,Curry Inc Tesla
S0085,CUST0085,2023-11-27,Model X,Asia,USA,New York,3,420000,Silver,Performance,57,Corporate,"Brown, Montgomery and Velasquez Tesla"
S0086,CUST0086,2024-05-31,Model 3,Europe,Canada,Ottawa,1,63000,White,Performance,27,Corporate,Crawford-Henderson Tesla
S0087,CUST0087,2024-03-11,Model X,North America,Canada,Calgary,4,560000,Red,Performance,56,Corporate,Wolf LLC Tesla
S0088,CUST0088,2024-09-30,Model 3,Asia,USA,Los Angeles,5,225000,Black,Standard Range,40,Corporate,Montes-Pugh Tesla
S0089,CUST0089,2023-12-30,Cybertruck,North America,Canada,Vancouver,4,336000,Black,Performance,22,Corporate,"Lewis, Dyer and Robinson Tesla"
S0090,CUST0090,2025-02-15,Cybertruck,Asia,Canada,Ottawa,1,84000,White,Performance,45,Corporate,Smith-Santana Tesla
S0091,CUST0091,2023-11-13,Model S,North America,Brazil,Fortaleza,3,324000,Black,Long Range,19,Individual,Vargas-Garcia Tesla
S0092,CUST0092,2024-08-24,Model S,Europe,UK,Leeds,3,324000,Silver,Long Range,33,Individual,Aguilar-Sanchez Tesla
S0093,CUST0093,2023-09-07,Model 3,Asia,Brazil,Brasília,4,180000,Blue,Standard Range,14,Individual,Smith-Martin Tesla
S0094,CUST0094,2023-06-07,Cybertruck,Asia,France,Paris,5,420000,Black,Performance,8,Corporate,Abbott LLC Tesla
S0095,CUST0095,2025-02-11,Model 3,Europe,Brazil,São Paulo,5,270000,Blue,Long Range,5,Corporate,Knapp-Wilson Tesla
S0096,CUST0096,2023-10-30,Model X,North America,Canada,Toronto,4,560000,Silver,Performance,26,Corporate,"Zimmerman, Bowman and Barnett Tesla"
S0097,CUST0097,2025-01-29,Model 3,North America,France,Toulouse,2,108000,Red,Long Range,31,Corporate,"Sullivan, Chandler and Conner Tesla"
S0098,CUST0098,2024-07-24,Cybertruck,Europe,USA,New York,1,84000,Black,Performance,20,Corporate,Casey-Sullivan Tesla
S0099,CUST0099,2024-07-21,Cybertruck,Asia,France,Lyon,5,300000,Silver,Standard Range,22,Individual,Oliver-Patterson Tesla
S0100,CUST0100,2025-02-22,Model S,Asia,Australia,Perth,4,360000,Blue,Standard Range,53,Corporate,Jones and Sons Tesla
S0101,CUST0101,2025-03-25,Model X,Asia,China,Guangzhou,5,500000,White,Standard Range,33,Corporate,Matthews-Clark Tesla
S0102,CUST0102,2024-03-27,Cybertruck,Asia,Japan,Yokohama,5,360000,Black,Long Range,13,Corporate,"Maldonado, Cannon and Patton Tesla"
S0103,CUST0103,2025-02-10,Model 3,Asia,Germany,Frankfurt,4,216000,Black,Long Range,28,Corporate,Robinson and Sons Tesla
S0104,CUST0104,2023-11-16,Cybertruck,Asia,France,Toulouse,1,60000,Red,Standard Range,24,Corporate,Mclaughlin-Graham Tesla
S0105,CUST0105,2025-04-22,Model X,North America,China,Shenzhen,2,200000,White,Standard Range,52,Corporate,Maldonado-Mcgrath Tesla
S0106,CUST0106,2024-10-13,Cybertruck,North America,France,Nice,1,72000,Black,Long Range,41,Corporate,Williams LLC Tesla
S0107,CUST0107,2025-01-30,Model X,Asia,Canada,Toronto,5,500000,Blue,Standard Range,29,Corporate,Benson-King Tesla
S0108,CUST0108,2023-06-23,Model 3,Europe,Germany,Hamburg,3,189000,Red,Performance,11,Individual,Lane Group Tesla
S0109,CUST0109,2024-10-06,Model X,Asia,France,Marseille,1,100000,Silver,Standard Range,45,Individual,"Woods, Fleming and Brooks Tesla"
S0110,CUST0110,2024-11-08,Cybertruck,Europe,Canada,Ottawa,5,360000,Silver,Long Range,38,Corporate,Mejia-Davis Tesla
S0111,CUST0111,2023-09-11,Model S,Asia,India,Bangalore,3,270000,White,Standard Range,18,Corporate,Clark-Christensen Tesla
S0112,CUST0112,2025-02-04,Model X,Asia,China,Beijing,5,700000,Blue,Performance,49,Corporate,Mata Inc Tesla
S0113,CUST0113,2024-03-19,Cybertruck,North America,USA,Chicago,5,360000,White,Long Range,19,Individual,Mcdaniel Ltd Tesla
S0114,CUST0114,2023-11-10,Model X,Asia,Canada,Calgary,2,280000,White,Performance,38,Corporate,"Johnson, Chen and Lee Tesla"
S0115,CUST0115,2024-04-09,Model 3,North America,Australia,Sydney,4,216000,Silver,Long Range,46,Individual,Bernard Group Tesla
S0116,CUST0116,2025-01-28,Model S,Asia,Japan,Yokohama,2,180000,Silver,Standard Range,13,Individual,"Moore, Kim and Owens Tesla"
S0117,CUST0117,2023-08-10,Model S,Europe,Australia,Melbourne,3,270000,Red,Standard Range,40,Corporate,Christensen Ltd Tesla
S0118,CUST0118,2024-07-14,Model 3,Asia,UK,Manchester,4,252000,Silver,Performance,58,Corporate,Brock Ltd Tesla
S0119,CUST0119,2024-09-14,Model S,Europe,Brazil,Fortaleza,3,324000,Red,Long Range,54,Corporate,Watson-Williams Tesla
S0120,CUST0120,2024-10-23,Model X,North America,China,Chengdu,1,100000,Black,Standard Range,38,Corporate,Waller-Hernandez Tesla
S0121,CUST0121,2025-01-03,Model 3,North America,UK,Birmingham,2,126000,Black,Performance,20,Corporate,"Suarez, Nelson and Johnston Tesla"
S0122,CUST0122,2023-09-09,Model X,Europe,India,Hyderabad,3,300000,Silver,Standard Range,42,Corporate,"Guzman, Gallegos and Harvey Tesla"
S0123,CUST0123,2023-08-18,Model 3,Asia,USA,Chicago,1,45000,White,Standard Range,24,Corporate,"Wells, Barnes and Drake Tesla"
S0124,CUST0124,2025-04-08,Model S,North America,China,Shenzhen,2,216000,Black,Long Range,45,Corporate,"Hernandez, Schwartz and Dunn Tesla"
S0125,CUST0125,2023-06-03,Model 3,Europe,Germany,Frankfurt,5,270000,Red,Long Range,14,Individual,Donaldson PLC Tesla
S0126,CUST0126,2024-09-19,Cybertruck,Europe,Canada,Calgary,2,144000,Black,Long Range,57,Individual,"Bowers, Calderon and Sims Tesla"
S0127,CUST0127,2023-12-21,Cybertruck,North America,USA,Chicago,5,420000,Silver,Performance,33,Corporate,"Wilson, Singleton and Moore Tesla"
S0128,CUST0128,2025-03-10,Model X,Asia,India,Hyderabad,1,140000,Red,Performance,18,Corporate,King-Farmer Tesla
S0129,CUST0129,2025-04-22,Cybertruck,Asia,China,Beijing,4,240000,White,Standard Range,39,Individual,Morrison-Wheeler Tesla
S0130,CUST0130,2024-08-17,Model X,North America,Canada,Montreal,3,300000,Red,Standard Range,38,Corporate,Bell-Romero Tesla
S0131,CUST0131,2023-08-08,Cybertruck,North America,Canada,Vancouver,2,168000,Black,Performance,54,Individual,"Jensen, Arroyo and Anthony Tesla"
S0132,CUST0132,2023-05-31,Model 3,Europe,Germany,Munich,4,180000,Silver,Standard Range,40,Corporate,Duncan-Robinson Tesla
S0133,CUST0133,2024-10-08,Model S,Asia,China,Shenzhen,5,540000,Red,Long Range,21,Individual,Lewis-Anderson Tesla
S0134,CUST0134,2023-09-21,Model 3,Asia,India,Delhi,5,315000,White,Performance,39,Corporate,"Kim, Hall and Brown Tesla"
S0135,CUST0135,2024-05-18,Model X,Asia,Japan,Yokohama,1,100000,Silver,Standard Range,40,Corporate,Shelton-Berry Tesla
S0136,CUST0136,2024-08-26,Model 3,Asia,Germany,Berlin,4,216000,Silver,Long Range,14,Individual,"Merritt, Christian and Mitchell Tesla"
S0137,CUST0137,2023-09-01,Model 3,North America,Germany,Berlin,2,90000,Red,Standard Range,58,Individual,Carroll-Russo Tesla
S0138,CUST0138,2024-05-18,Cybertruck,Asia,India,Chennai,5,420000,Red,Performance,35,Individual,"Chang, Dickson and Lopez Tesla"
S0139,CUST0139,2024-12-18,Cybertruck,Asia,Japan,Osaka,1,84000,Blue,Performance,51,Individual,Guerra-Campbell Tesla
S0140,CUST0140,2025-01-06,Cybertruck,Asia,Brazil,Rio de Janeiro,3,180000,Black,Standard Range,6,Individual,Warren and Sons Tesla
S0141,CUST0141,2024-06-01,Model S,Europe,Japan,Osaka,1,108000,Blue,Long Range,39,Corporate,Anderson-Walters Tesla
S0142,CUST0142,2025-02-02,Model X,North America,Brazil,Rio de Janeiro,2,240000,White,Long Range,35,Corporate,"Rhodes, Rivera and Hancock Tesla"
S0143,CUST0143,2024-02-08,Model 3,Asia,UK,London,3,135000,Blue,Standard Range,58,Individual,"Higgins, Sheppard and Harper Tesla"
S0144,CUST0144,2024-10-15,Cybertruck,Asia,Japan,Yokohama,1,60000,Blue,Standard Range,6,Corporate,Wells-Hunt Tesla
S0145,CUST0145,2024-08-26,Cybertruck,Asia,Australia,Perth,1,84000,Silver,Performance,13,Corporate,Guzman Ltd Tesla
S0146,CUST0146,2024-01-07,Model S,North America,Germany,Frankfurt,4,432000,White,Long Range,52,Individual,Collins PLC Tesla
S0147,CUST0147,2024-11-24,Model X,Asia,Australia,Perth,4,400000,Silver,Standard Range,29,Corporate,Fisher Inc Tesla
S0148,CUST0148,2024-04-25,Model S,North America,Australia,Brisbane,1,108000,Silver,Long Range,57,Corporate,Martin-Ortega Tesla
S0149,CUST0149,2025-02-17,Model S,Asia,China,Shanghai,1,90000,Black,Standard Range,17,Corporate,Freeman PLC Tesla
S0150,CUST0150,2024-06-03,Model 3,North America,France,Nice,1,54000,Black,Long Range,41,Individual,Krueger LLC Tesla
S0151,CUST0151,2025-02-07,Model S,Europe,China,Guangzhou,2,216000,Blue,Long Range,42,Individual,Anderson-Ibarra Tesla
S0152,CUST0152,2024-04-20,Model S,Europe,USA,Houston,4,360000,White,Standard Range,59,Individual,"Valentine, Miller and Smith Tesla"
S0153,CUST0153,2024-08-02,Model S,Europe,China,Beijing,4,432000,Black,Long Range,41,Corporate,Leon LLC Tesla
S0154,CUST0154,2023-07-29,Model 3,Asia,USA,New York,2,108000,Silver,Long Range,51,Individual,Young Ltd Tesla
S0155,CUST0155,2024-02-21,Model X,Europe,USA,San Francisco,1,100000,Silver,Standard Range,39,Corporate,Adkins Inc Tesla
S0156,CUST0156,2024-07-04,Cybertruck,North America,Brazil,Brasília,4,240000,Silver,Standard Range,7,Individual,Martin-Frederick Tesla
S0157,CUST0157,2025-04-06,Cybertruck,Europe,UK,London,5,360000,Silver,Long Range,49,Corporate,"Austin, Brooks and Marquez Tesla"
S0158,CUST0158,2024-08-16,Model X,North America,France,Lyon,5,500000,Blue,Standard Range,55,Corporate,"Ortiz, Frost and Mckinney Tesla"
S0159,CUST0159,2023-05-04,Cybertruck,North America,Canada,Ottawa,3,180000,Blue,Standard Range,51,Individual,Murray PLC Tesla
S0160,CUST0160,2023-12-06,Model 3,Europe,Australia,Adelaide,4,216000,Silver,Long Range,5,Corporate,Rhodes Group Tesla
S0161,CUST0161,2025-02-26,Model S,Europe,India,Bangalore,2,216000,Red,Long Range,53,Individual,"Wilson, Monroe and Smith Tesla"
S0162,CUST0162,2024-07-15,Model X,Europe,China,Shenzhen,4,560000,Red,Performance,38,Individual,Taylor-Lopez Tesla
S0163,CUST0163,2024-12-14,Model 3,North America,China,Guangzhou,2,126000,Black,Performance,8,Individual,"Berg, Fernandez and Hobbs Tesla"
S0164,CUST0164,2025-01-07,Cybertruck,North America,Brazil,São Paulo,3,252000,White,Performance,30,Individual,"Allen, Hernandez and Matthews Tesla"
S0165,CUST0165,2024-09-18,Model X,Asia,France,Marseille,3,300000,Red,Standard Range,40,Corporate,"Edwards, Byrd and Ellison Tesla"
S0166,CUST0166,2024-02-11,Model X,Europe,France,Paris,3,300000,Blue,Standard Range,57,Individual,"Gordon, Contreras and Cooley Tesla"
S0167,CUST0167,2025-01-16,Cybertruck,Asia,Japan,Tokyo,1,84000,Black,Performance,21,Individual,"Hebert, Lee and King Tesla"
S0168,CUST0168,2024-07-20,Model S,Asia,Canada,Calgary,1,126000,Silver,Performance,20,Corporate,"Ellis, Sullivan and Ward Tesla"
S0169,CUST0169,2023-07-30,Cybertruck,Europe,UK,Liverpool,2,144000,White,Long Range,6,Individual,"Lynch, Serrano and Andrews Tesla"
S0170,CUST0170,2023-05-21,Model S,Europe,Canada,Montreal,3,270000,White,Standard Range,50,Corporate,King-Ingram Tesla
S0171,CUST0171,2023-12-03,Model 3,Asia,Brazil,Fortaleza,2,108000,Blue,Long Range,39,Individual,"Lewis, Walker and Allen Tesla"
S0172,CUST0172,2025-04-08,Model 3,Asia,USA,Chicago,5,315000,Blue,Performance,55,Corporate,"Murphy, Jackson and Eaton Tesla"
S0173,CUST0173,2025-02-23,Model 3,Europe,Japan,Sapporo,3,189000,White,Performance,44,Corporate,"Jackson, Reynolds and Diaz Tesla"
S0174,CUST0174,2025-02-21,Cybertruck,North America,USA,Houston,4,336000,Black,Performance,56,Individual,Newton LLC Tesla
S0175,CUST0175,2023-04-30,Model X,Europe,India,Delhi,2,200000,White,Standard Range,29,Individual,"Russell, Gilmore and Mullen Tesla"
S0176,CUST0176,2023-12-24,Model 3,North America,Australia,Adelaide,4,180000,Red,Standard Range,32,Corporate,Flores PLC Tesla
S0177,CUST0177,2025-04-02,Cybertruck,North America,USA,Chicago,4,288000,Silver,Long Range,6,Corporate,Santiago PLC Tesla
S0178,CUST0178,2024-01-02,Model X,North America,Japan,Tokyo,4,400000,Silver,Standard Range,49,Corporate,"Moore, Walker and Cook Tesla"
S0179,CUST0179,2025-02-27,Model S,North America,China,Guangzhou,2,216000,Black,Long Range,27,Individual,"Thomas, Mitchell and Simpson Tesla"
S0180,CUST0180,2025-03-22,Model 3,Europe,China,Beijing,1,54000,Black,Long Range,23,Individual,"Kirby, Huang and Clayton Tesla"
S0181,CUST0181,2023-10-07,Model X,North America,Brazil,Rio de Janeiro,2,240000,Black,Long Range,48,Individual,Romero-Williams Tesla
S0182,CUST0182,2023-04-29,Model S,Asia,Australia,Sydney,1,108000,Black,Long Range,52,Corporate,"Robertson, Alvarez and Webb Tesla"
S0183,CUST0183,2024-11-07,Cybertruck,Europe,Canada,Vancouver,2,168000,Black,Performance,21,Individual,"Medina, Guzman and Walker Tesla"
S0184,CUST0184,2024-07-22,Model X,North America,France,Toulouse,1,140000,White,Performance,47,Individual,Wang Group Tesla
S0185,CUST0185,2023-05-30,Model S,Europe,USA,Houston,1,90000,Blue,Standard Range,31,Individual,"Foster, Jones and Nielsen Tesla"
S0186,CUST0186,2023-09-28,Model S,Asia,USA,San Francisco,3,324000,Black,Long Range,30,Individual,"Morrow, Bartlett and Love Tesla"
S0187,CUST0187,2023-07-18,Model X,Europe,China,Shenzhen,4,480000,White,Long Range,19,Corporate,"Kirby, Moore and Fisher Tesla"
S0188,CUST0188,2024-05-06,Cybertruck,Europe,Australia,Adelaide,1,60000,Blue,Standard Range,30,Corporate,"Kelly, Turner and Wolfe Tesla"
S0189,CUST0189,2023-09-02,Cybertruck,Europe,Australia,Brisbane,2,168000,Blue,Performance,12,Corporate,"Davis, Frederick and Butler Tesla"
S0190,CUST0190,2023-09-08,Model 3,North America,Canada,Montreal,1,45000,Blue,Standard Range,13,Individual,Mcintosh Group Tesla
S0191,CUST0191,2024-11-28,Cybertruck,North America,Canada,Toronto,2,168000,Black,Performance,44,Corporate,Mccarthy Group Tesla
S0192,CUST0192,2024-04-29,Model S,Asia,China,Chengdu,2,252000,Black,Performance,49,Corporate,"Humphrey, Meyer and Burke Tesla"
S0193,CUST0193,2024-01-25,Model 3,North America,China,Shanghai,1,45000,Silver,Standard Range,28,Corporate,"Miller, Rojas and Morris Tesla"
S0194,CUST0194,2023-12-09,Model X,Asia,France,Toulouse,5,500000,Red,Standard Range,8,Corporate,Burns Group Tesla
S0195,CUST0195,2025-04-14,Cybertruck,Europe,France,Toulouse,1,84000,Blue,Performance,40,Individual,"Carrillo, Cook and Chaney Tesla"
S0196,CUST0196,2024-03-06,Model S,Asia,France,Marseille,5,450000,Blue,Standard Range,37,Corporate,"Kim, Obrien and Williams Tesla"
S0197,CUST0197,2025-01-18,Cybertruck,Europe,UK,London,1,84000,Black,Performance,27,Individual,Short PLC Tesla
